
MP7: 
| ImageID | Keypoints | Detector |
| 0 | 166 | AKAZE |
| 1 | 157 | AKAZE |
| 2 | 161 | AKAZE |
| 3 | 155 | AKAZE |
| 4 | 163 | AKAZE |
| 5 | 164 | AKAZE |
| 6 | 173 | AKAZE |
| 7 | 175 | AKAZE |
| 8 | 177 | AKAZE |
| 9 | 179 | AKAZE |
| 0 | 264 | BRISK |
| 1 | 282 | BRISK |
| 2 | 282 | BRISK |
| 3 | 277 | BRISK |
| 4 | 297 | BRISK |
| 5 | 279 | BRISK |
| 6 | 289 | BRISK |
| 7 | 272 | BRISK |
| 8 | 266 | BRISK |
| 9 | 254 | BRISK |
| 0 | 121 | FAST |
| 1 | 129 | FAST |
| 2 | 121 | FAST |
| 3 | 124 | FAST |
| 4 | 126 | FAST |
| 5 | 121 | FAST |
| 6 | 142 | FAST |
| 7 | 140 | FAST |
| 8 | 147 | FAST |
| 9 | 146 | FAST |
| 0 | 45 | HARRIS |
| 1 | 58 | HARRIS |
| 2 | 74 | HARRIS |
| 3 | 88 | HARRIS |
| 4 | 124 | HARRIS |
| 5 | 99 | HARRIS |
| 6 | 72 | HARRIS |
| 7 | 188 | HARRIS |
| 8 | 115 | HARRIS |
| 9 | 94 | HARRIS |
| 0 | 92 | ORB |
| 1 | 102 | ORB |
| 2 | 106 | ORB |
| 3 | 113 | ORB |
| 4 | 109 | ORB |
| 5 | 125 | ORB |
| 6 | 130 | ORB |
| 7 | 129 | ORB |
| 8 | 127 | ORB |
| 9 | 128 | ORB |
| 0 | 125 | SHITOMASI |
| 1 | 118 | SHITOMASI |
| 2 | 123 | SHITOMASI |
| 3 | 120 | SHITOMASI |
| 4 | 120 | SHITOMASI |
| 5 | 113 | SHITOMASI |
| 6 | 114 | SHITOMASI |
| 7 | 123 | SHITOMASI |
| 8 | 111 | SHITOMASI |
| 9 | 112 | SHITOMASI |
| 0 | 138 | SIFT |
| 1 | 132 | SIFT |
| 2 | 124 | SIFT |
| 3 | 137 | SIFT |
| 4 | 134 | SIFT |
| 5 | 140 | SIFT |
| 6 | 137 | SIFT |
| 7 | 148 | SIFT |
| 8 | 159 | SIFT |
| 9 | 137 | SIFT |

MP8, Descriptor: BRISK
| ImageID | Matched Points | Keypoint Detector |
|1 | 126 | AKAZE |
|2 | 112 | AKAZE |
|3 | 121 | AKAZE |
|4 | 117 | AKAZE |
|5 | 114 | AKAZE |
|6 | 119 | AKAZE |
|7 | 134 | AKAZE |
|8 | 140 | AKAZE |
|9 | 127 | AKAZE |
|1 | 138 | BRISK |
|2 | 144 | BRISK |
|3 | 133 | BRISK |
|4 | 144 | BRISK |
|5 | 139 | BRISK |
|6 | 155 | BRISK |
|7 | 137 | BRISK |
|8 | 150 | BRISK |
|9 | 158 | BRISK |
|1 | 59 | FAST |
|2 | 54 | FAST |
|3 | 61 | FAST |
|4 | 66 | FAST |
|5 | 62 | FAST |
|6 | 53 | FAST |
|7 | 77 | FAST |
|8 | 78 | FAST |
|9 | 86 | FAST |
|1 | 25 | HARRIS |
|2 | 28 | HARRIS |
|3 | 36 | HARRIS |
|4 | 43 | HARRIS |
|5 | 48 | HARRIS |
|6 | 43 | HARRIS |
|7 | 30 | HARRIS |
|8 | 85 | HARRIS |
|9 | 67 | HARRIS |
|1 | 60 | ORB |
|2 | 65 | ORB |
|3 | 65 | ORB |
|4 | 76 | ORB |
|5 | 72 | ORB |
|6 | 83 | ORB |
|7 | 83 | ORB |
|8 | 73 | ORB |
|9 | 72 | ORB |
|1 | 84 | SHITOMASI |
|2 | 80 | SHITOMASI |
|3 | 73 | SHITOMASI |
|4 | 77 | SHITOMASI |
|5 | 74 | SHITOMASI |
|6 | 70 | SHITOMASI |
|7 | 79 | SHITOMASI |
|8 | 81 | SHITOMASI |
|9 | 72 | SHITOMASI |
|1 | 57 | SIFT |
|2 | 63 | SIFT |
|3 | 58 | SIFT |
|4 | 61 | SIFT |
|5 | 55 | SIFT |
|6 | 52 | SIFT |
|7 | 54 | SIFT |
|8 | 63 | SIFT |
|9 | 73 | SIFT |

MP8, Descriptor: BRIEF
| ImageID | Matched Points | Keypoint Detector |
|1 | 108 | AKAZE |
|2 | 116 | AKAZE |
|3 | 110 | AKAZE |
|4 | 109 | AKAZE |
|5 | 116 | AKAZE |
|6 | 129 | AKAZE |
|7 | 133 | AKAZE |
|8 | 135 | AKAZE |
|9 | 131 | AKAZE |
|1 | 138 | BRISK |
|2 | 166 | BRISK |
|3 | 129 | BRISK |
|4 | 141 | BRISK |
|5 | 148 | BRISK |
|6 | 155 | BRISK |
|7 | 158 | BRISK |
|8 | 161 | BRISK |
|9 | 148 | BRISK |
|1 | 59 | FAST |
|2 | 62 | FAST |
|3 | 58 | FAST |
|4 | 69 | FAST |
|5 | 58 | FAST |
|6 | 56 | FAST |
|7 | 78 | FAST |
|8 | 80 | FAST |
|9 | 62 | FAST |
|1 | 25 | HARRIS |
|2 | 27 | HARRIS |
|3 | 38 | HARRIS |
|4 | 46 | HARRIS |
|5 | 44 | HARRIS |
|6 | 44 | HARRIS |
|7 | 34 | HARRIS |
|8 | 65 | HARRIS |
|9 | 58 | HARRIS |
|1 | 37 | ORB |
|2 | 38 | ORB |
|3 | 37 | ORB |
|4 | 53 | ORB |
|5 | 42 | ORB |
|6 | 64 | ORB |
|7 | 58 | ORB |
|8 | 62 | ORB |
|9 | 59 | ORB |
|1 | 96 | SHITOMASI |
|2 | 93 | SHITOMASI |
|3 | 92 | SHITOMASI |
|4 | 89 | SHITOMASI |
|5 | 92 | SHITOMASI |
|6 | 93 | SHITOMASI |
|7 | 85 | SHITOMASI |
|8 | 91 | SHITOMASI |
|9 | 85 | SHITOMASI |
|1 | 63 | SIFT |
|2 | 72 | SIFT |
|3 | 64 | SIFT |
|4 | 66 | SIFT |
|5 | 52 | SIFT |
|6 | 57 | SIFT |
|7 | 72 | SIFT |
|8 | 67 | SIFT |
|9 | 84 | SIFT |

MP8, Descriptor: ORB
| ImageID | Matched Points | Keypoint Detector |
|1 | 102 | AKAZE |
|2 | 96 | AKAZE |
|3 | 96 | AKAZE |
|4 | 84 | AKAZE |
|5 | 90 | AKAZE |
|6 | 116 | AKAZE |
|7 | 103 | AKAZE |
|8 | 113 | AKAZE |
|9 | 118 | AKAZE |
|1 | 94 | BRISK |
|2 | 107 | BRISK |
|3 | 88 | BRISK |
|4 | 97 | BRISK |
|5 | 85 | BRISK |
|6 | 114 | BRISK |
|7 | 112 | BRISK |
|8 | 114 | BRISK |
|9 | 122 | BRISK |
|1 | 57 | FAST |
|2 | 68 | FAST |
|3 | 70 | FAST |
|4 | 73 | FAST |
|5 | 64 | FAST |
|6 | 67 | FAST |
|7 | 81 | FAST |
|8 | 81 | FAST |
|9 | 74 | FAST |
|1 | 23 | HARRIS |
|2 | 31 | HARRIS |
|3 | 39 | HARRIS |
|4 | 35 | HARRIS |
|5 | 43 | HARRIS |
|6 | 50 | HARRIS |
|7 | 33 | HARRIS |
|8 | 83 | HARRIS |
|9 | 61 | HARRIS |
|1 | 40 | ORB |
|2 | 57 | ORB |
|3 | 49 | ORB |
|4 | 54 | ORB |
|5 | 57 | ORB |
|6 | 68 | ORB |
|7 | 71 | ORB |
|8 | 62 | ORB |
|9 | 72 | ORB |
|1 | 86 | SHITOMASI |
|2 | 84 | SHITOMASI |
|3 | 87 | SHITOMASI |
|4 | 91 | SHITOMASI |
|5 | 87 | SHITOMASI |
|6 | 76 | SHITOMASI |
|7 | 81 | SHITOMASI |
|8 | 88 | SHITOMASI |
|9 | 88 | SHITOMASI |
|1 | Uncomp. | SIFT
|2 | Uncomp. | SIFT
|3 | Uncomp. | SIFT
|4 | Uncomp. | SIFT
|5 | Uncomp. | SIFT
|6 | Uncomp. | SIFT
|7 | Uncomp. | SIFT
|8 | Uncomp. | SIFT
|9 | Uncomp. | SIFT

MP8, Descriptor: FREAK
| ImageID | Matched Points | Keypoint Detector |
|1 | 103 | AKAZE |
|2 | 105 | AKAZE |
|3 | 93 | AKAZE |
|4 | 99 | AKAZE |
|5 | 97 | AKAZE |
|6 | 115 | AKAZE |
|7 | 126 | AKAZE |
|8 | 118 | AKAZE |
|9 | 117 | AKAZE |
|1 | 114 | BRISK |
|2 | 121 | BRISK |
|3 | 113 | BRISK |
|4 | 118 | BRISK |
|5 | 103 | BRISK |
|6 | 129 | BRISK |
|7 | 135 | BRISK |
|8 | 129 | BRISK |
|9 | 131 | BRISK |
|1 | 57 | FAST |
|2 | 41 | FAST |
|3 | 51 | FAST |
|4 | 58 | FAST |
|5 | 56 | FAST |
|6 | 50 | FAST |
|7 | 69 | FAST |
|8 | 57 | FAST |
|9 | 71 | FAST |
|1 | 18 | HARRIS |
|2 | 32 | HARRIS |
|3 | 28 | HARRIS |
|4 | 33 | HARRIS |
|5 | 44 | HARRIS |
|6 | 38 | HARRIS |
|7 | 23 | HARRIS |
|8 | 67 | HARRIS |
|9 | 53 | HARRIS |
|1 | 39 | ORB |
|2 | 33 | ORB |
|3 | 37 | ORB |
|4 | 40 | ORB |
|5 | 33 | ORB |
|6 | 40 | ORB |
|7 | 41 | ORB |
|8 | 39 | ORB |
|9 | 44 | ORB |
|1 | 66 | SHITOMASI |
|2 | 66 | SHITOMASI |
|3 | 64 | SHITOMASI |
|4 | 63 | SHITOMASI |
|5 | 62 | SHITOMASI |
|6 | 64 | SHITOMASI |
|7 | 61 | SHITOMASI |
|8 | 65 | SHITOMASI |
|9 | 63 | SHITOMASI |
|1 | 59 | SIFT |
|2 | 63 | SIFT |
|3 | 54 | SIFT |
|4 | 64 | SIFT |
|5 | 51 | SIFT |
|6 | 50 | SIFT |
|7 | 47 | SIFT |
|8 | 53 | SIFT |
|9 | 65 | SIFT |

MP8, Descriptor: AKAZE
| ImageID | Matched Points | Keypoint Detector |
|1 | 128 | AKAZE |
|2 | 128 | AKAZE |
|3 | 125 | AKAZE |
|4 | 117 | AKAZE |
|5 | 121 | AKAZE |
|6 | 132 | AKAZE |
|7 | 137 | AKAZE |
|8 | 140 | AKAZE |
|9 | 144 | AKAZE |
|1 | Uncomp. | BRISK
|2 | Uncomp. | BRISK
|3 | Uncomp. | BRISK
|4 | Uncomp. | BRISK
|5 | Uncomp. | BRISK
|6 | Uncomp. | BRISK
|7 | Uncomp. | BRISK
|8 | Uncomp. | BRISK
|9 | Uncomp. | BRISK
|1 | Uncomp. | FAST
|2 | Uncomp. | FAST
|3 | Uncomp. | FAST
|4 | Uncomp. | FAST
|5 | Uncomp. | FAST
|6 | Uncomp. | FAST
|7 | Uncomp. | FAST
|8 | Uncomp. | FAST
|9 | Uncomp. | FAST
|1 | Uncomp. | HARRIS
|2 | Uncomp. | HARRIS
|3 | Uncomp. | HARRIS
|4 | Uncomp. | HARRIS
|5 | Uncomp. | HARRIS
|6 | Uncomp. | HARRIS
|7 | Uncomp. | HARRIS
|8 | Uncomp. | HARRIS
|9 | Uncomp. | HARRIS
|1 | Uncomp. | ORB
|2 | Uncomp. | ORB
|3 | Uncomp. | ORB
